"SiteID","Replicate","Latitude","Longitude","Order","Family","Species","Reads"
"Site2_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",10348
"Site2_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",19418
"Site2_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",29888
"Site3_R2",2,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",15363
"Site3_R2",2,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",8318
"Site3_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",4428
"Site3_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",10964
"Site3_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",11031
"Site3_R2",2,NA,NA,"Gadiformes","Gadidae","Pollachius virens",1510
"Site3_R2",2,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",34707
"Site3_R2",2,NA,NA,"Perciformes","Serranidae","Serranus atricauda",2215
"Site3_R2",2,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",25861
"Site3_R2",2,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",5177
"Site4_R2",2,NA,NA,"Beloniformes","Belonidae","Belone belone",2146
"Site4_R2",2,NA,NA,"Perciformes","Serranidae","Serranus atricauda",22259
"Site4_R2",2,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",27173
"Site4_R2",2,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",12849
"Site4_R2",2,NA,NA,"Gadiformes","Gadidae","Gadus morhua",26716
"Site4_R2",2,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",16323
"Site4_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",27584
"Site4_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",12423
"Site4_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",2418
"Site5_R2",2,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",4007
"Site5_R2",2,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",11496
"Site5_R2",2,NA,NA,"Gadiformes","Gadidae","Pollachius virens",4066
"Site5_R2",2,NA,NA,"Perciformes","Sparidae","Sparus aurata",1288
"Site5_R2",2,NA,NA,"Perciformes","Sparidae","Boops boops",12478
"Site6_R2",2,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",19180
"Site6_R2",2,NA,NA,"Gadiformes","Gadidae","Pollachius virens",30484
"Site6_R2",2,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",20352
"Site6_R2",2,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",6996
"Site6_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",1369
"Site6_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",25633
"Site6_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",463
"Site6_R2",2,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",28049
"Site6_R2",2,NA,NA,"Perciformes","Serranidae","Serranus atricauda",29815
"Site6_R2",2,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",26747
"Site6_R2",2,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",25504
"Site7_R2",2,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",32621
"Site7_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",1311
"Site7_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",17337
"Site7_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",26988
"Site7_R2",2,NA,NA,"Gadiformes","Gadidae","Gadus morhua",24876
"Site7_R2",2,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",22658
"Site8_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",29977
"Site8_R2",2,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",4037
"Site8_R2",2,NA,NA,"Beloniformes","Belonidae","Belone belone",24471
"Site8_R2",2,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",30007
"Site8_R2",2,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",17918
"Site8_R2",2,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",16200
"Site8_R2",2,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",33840
"Site1_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",20315
"Site1_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",30887
"Site1_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",9535
"Site1_R3",3,NA,NA,"Beloniformes","Belonidae","Belone belone",13081
"Site1_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",2296
"Site2_R3",3,NA,NA,"Perciformes","Sparidae","Boops boops",29226
"Site2_R3",3,NA,NA,"Perciformes","Sparidae","Sparus aurata",29930
"Site2_R3",3,NA,NA,"Perciformes","Sparidae","Diplodus sargus",26965
"Site2_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",22746
"Site2_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",14528
"Site2_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",23066
"Site2_R3",3,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",4514
"Site2_R3",3,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",24694
"Site2_R3",3,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",29760
"Site2_R3",3,NA,NA,"Gadiformes","Gadidae","Pollachius virens",17735
"Site2_R3",3,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",8509
"Site2_R3",3,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",3299
"Site2_R3",3,NA,NA,"Gadiformes","Gadidae","Gadus morhua",8513
"Site2_R3",3,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",25040
"Site2_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",23937
"Site3_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",7714
"Site3_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",5668
"Site3_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",28814
"Site3_R3",3,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",23849
"Site3_R3",3,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",17068
"Site3_R3",3,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",10102
"Site3_R3",3,NA,NA,"Gadiformes","Gadidae","Gadus morhua",13085
"Site3_R3",3,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",16481
"Site3_R3",3,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",11916
"Site3_R3",3,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",29210
"Site3_R3",3,NA,NA,"Gadiformes","Gadidae","Pollachius virens",20197
"Site3_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",26824
"Site4_R3",3,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",32423
"Site4_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",2702
"Site4_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",33985
"Site4_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",8588
"Site4_R3",3,NA,NA,"Beloniformes","Belonidae","Belone belone",15844
"Site4_R3",3,NA,NA,"Perciformes","Serranidae","Serranus atricauda",7854
"Site4_R3",3,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",2454
"Site4_R3",3,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",32725
"Site4_R3",3,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",20312
"Site4_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",22070
"Site5_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",5354
"Site5_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",8162
"Site5_R3",3,NA,NA,"Beloniformes","Belonidae","Belone belone",17398
"Site5_R3",3,NA,NA,"Perciformes","Serranidae","Serranus atricauda",19459
"Site5_R3",3,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",25894
"Site5_R3",3,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",3109
"Site5_R3",3,NA,NA,"Gadiformes","Gadidae","Gadus morhua",415
"Site5_R3",3,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",23853
"Site6_R3",3,NA,NA,"Perciformes","Serranidae","Serranus atricauda",5299
"Site6_R3",3,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",11910
"Site6_R3",3,NA,NA,"Beloniformes","Belonidae","Belone belone",7744
"Site6_R3",3,NA,NA,"Gadiformes","Gadidae","Gadus morhua",14305
"Site6_R3",3,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",25193
"Site6_R3",3,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",16551
"Site6_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",18129
"Site6_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",22188
"Site6_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",31551
"Site7_R3",3,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",29779
"Site7_R3",3,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",17911
"Site7_R3",3,NA,NA,"Perciformes","Sparidae","Boops boops",17045
"Site7_R3",3,NA,NA,"Perciformes","Sparidae","Diplodus sargus",33305
"Site7_R3",3,NA,NA,"Perciformes","Sparidae","Sparus aurata",24439
"Site7_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",13190
"Site7_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",29486
"Site7_R3",3,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",14490
"Site8_R3",3,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",26648
"Site8_R3",3,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",11121
"Site8_R3",3,NA,NA,"Gadiformes","Gadidae","Gadus morhua",7410
"Site8_R3",3,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",17944
"Site8_R3",3,NA,NA,"Beloniformes","Belonidae","Belone belone",13344
"Site8_R3",3,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",7771
"Site1_R4",4,NA,NA,"Perciformes","Sparidae","Sparus aurata",19006
"Site1_R4",4,NA,NA,"Perciformes","Sparidae","Boops boops",6023
"Site1_R4",4,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",1419
"Site1_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",30397
"Site1_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",26457
"Site1_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",23934
"Site1_R4",4,NA,NA,"Beloniformes","Belonidae","Belone belone",1711
"Site1_R4",4,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",32868
"Site2_R4",4,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",1311
"Site2_R4",4,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",4478
"Site2_R4",4,NA,NA,"Gadiformes","Gadidae","Gadus morhua",32265
"Site2_R4",4,NA,NA,"Gadiformes","Gadidae","Pollachius virens",7567
"Site2_R4",4,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",13969
"Site2_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",3002
"Site2_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",11166
"Site2_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",33260
"Site2_R4",4,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",29259
"Site2_R4",4,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",32340
"Site2_R4",4,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",6304
"Site2_R4",4,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",23930
"Site2_R4",4,NA,NA,"Perciformes","Sparidae","Sparus aurata",33449
"Site2_R4",4,NA,NA,"Perciformes","Sparidae","Diplodus sargus",13887
"Site2_R4",4,NA,NA,"Perciformes","Sparidae","Boops boops",32222
"Site3_R4",4,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",14104
"Site3_R4",4,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",12346
"Site3_R4",4,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",24947
"Site3_R4",4,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",28275
"Site3_R4",4,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",25503
"Site3_R4",4,NA,NA,"Gadiformes","Gadidae","Gadus morhua",11018
"Site3_R4",4,NA,NA,"Gadiformes","Gadidae","Melanogrammus aeglefinus",5516
"Site3_R4",4,NA,NA,"Gadiformes","Gadidae","Pollachius virens",2923
"Site3_R4",4,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",10358
"Site4_R4",4,NA,NA,"Gadiformes","Gadidae","Merlangius merlangus",10645
"Site4_R4",4,NA,NA,"Gadiformes","Gadidae","Gadus morhua",32232
"Site4_R4",4,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",20695
"Site4_R4",4,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",21500
"Site4_R4",4,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",25515
"Site4_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",34891
"Site4_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",29185
"Site4_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",26476
"Site5_R4",4,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",10665
"Site5_R4",4,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",15706
"Site5_R4",4,NA,NA,"Perciformes","Serranidae","Serranus atricauda",20972
"Site5_R4",4,NA,NA,"Perciformes","Serranidae","Serranus cabrilla",16307
"Site5_R4",4,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",11954
"Site6_R4",4,NA,NA,"Anguilliformes","Anguillidae","Anguilla anguilla",34856
"Site6_R4",4,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",22135
"Site6_R4",4,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",19506
"Site6_R4",4,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",33243
"Site6_R4",4,NA,NA,"Beloniformes","Belonidae","Belone belone",34287
"Site6_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",20173
"Site6_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",34934
"Site6_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",3017
"Site7_R4",4,NA,NA,"Perciformes","Sparidae","Boops boops",30054
"Site7_R4",4,NA,NA,"Perciformes","Sparidae","Sparus aurata",31259
"Site7_R4",4,NA,NA,"Perciformes","Sparidae","Diplodus sargus",18350
"Site7_R4",4,NA,NA,"Gadiformes","Gadidae","Trisopterus luscus",4372
"Site7_R4",4,NA,NA,"Gadiformes","Gadidae","Pollachius virens",33671
"Site7_R4",4,NA,NA,"Gadiformes","Gadidae","Gadus morhua",31787
"Site7_R4",4,NA,NA,"Beloniformes","Belonidae","Belone belone",20490
"Site7_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",31161
"Site7_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",10763
"Site7_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",30527
"Site8_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Limanda limanda",11864
"Site8_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Pleuronectes platessa",12339
"Site8_R4",4,NA,NA,"Pleuronectiformes","Pleuronectidae","Platichthys flesus",1499
"Site8_R4",4,NA,NA,"Scorpaeniformes","Cottidae","Cottus gobio",22615
"Site8_R4",4,NA,NA,"Clupeiformes","Clupeidae","Sardina pilchardus",9810
"Site8_R4",4,NA,NA,"Clupeiformes","Clupeidae","Clupea harengus",9805
"Site8_R4",4,NA,NA,"Beloniformes","Belonidae","Belone belone",18451
